row_id,agent_code,agent_age,agent_join_month,first_policy_sold_month,year_month,unique_proposals_last_7_days,unique_proposals_last_15_days,unique_proposals_last_21_days,unique_proposal,unique_quotations_last_7_days,unique_quotations_last_15_days,unique_quotations_last_21_days,unique_quotations,unique_customers_last_7_days,unique_customers_last_15_days,unique_customers_last_21_days,unique_customers,new_policy_count,ANBP_value,net_income,number_of_policy_holders,number_of_cash_payment_policies
1,455ca878,45,2/1/2021,9/1/2023,1/1/2023,3,6,2,12,3,0,4,9,3,4,8,15,0,0,93313,30,162
2,c823ce77,48,4/1/2022,2/1/2024,1/1/2023,1,4,12,21,3,1,8,14,4,3,10,17,25,1071450,164804,0,175
3,62154055,53,5/1/2020,9/1/2023,1/1/2023,3,5,5,17,1,6,5,14,3,7,11,21,26,1601210,426690,84,78
4,c58bfa6e,44,7/1/2019,3/1/2022,1/1/2023,1,0,12,17,1,1,5,11,2,2,9,13,18,283230,47793,39,144
5,b1e5f770,20,9/1/2020,2/1/2023,1/1/2023,0,6,10,17,3,6,2,13,3,10,6,19,20,1957680,562239,19,40
6,b9c2f37a,32,10/1/2019,8/1/2022,1/1/2023,2,2,16,24,2,0,5,13,4,0,9,13,28,2238964,586313,52,168
7,b09dd216,41,3/1/2022,1/1/2023,1/1/2023,1,6,4,12,0,4,9,14,2,7,13,22,17,1470891,202714,0,119
8,224be699,59,7/1/2020,7/1/2023,1/1/2023,3,0,3,8,4,2,9,16,4,2,11,17,16,342656,78341,51,64
9,003c1999,35,8/1/2020,12/1/2022,1/1/2023,2,2,0,8,0,0,0,2,2,2,1,5,0,0,327407,5,0
10,d7f98932,41,3/1/2020,5/1/2023,1/1/2023,0,6,8,15,1,5,0,14,3,6,3,12,17,733499,121582,48,153
11,86c9436f,28,4/1/2020,8/1/2023,1/1/2023,1,1,6,13,4,1,0,10,6,5,4,15,15,272520,27648,15,75
12,70813884,60,12/1/2021,1/1/2024,1/1/2023,1,0,10,15,0,5,0,8,2,9,2,13,20,1251120,293973,26,20
13,08d93405,35,2/1/2020,1/1/2022,1/1/2023,0,4,6,11,3,3,9,16,3,6,14,23,18,1180494,147363,23,18
14,06dfa6a3,39,11/1/2019,3/1/2022,1/1/2023,3,6,12,22,1,4,0,21,1,7,5,13,24,1025160,284052,52,192
15,b6418dc2,48,12/1/2022,2/1/2024,1/1/2023,2,0,13,20,0,2,2,5,0,5,2,7,0,0,696387,28,216
16,3383fd5c,20,1/1/2020,10/1/2023,1/1/2023,2,4,12,21,4,2,3,10,5,3,8,16,29,722477,138932,0,261
17,5287392d,38,11/1/2021,9/1/2023,1/1/2023,3,4,15,26,4,6,0,17,6,8,3,17,34,632502,88518,0,102
18,08dd9dac,21,6/1/2021,9/1/2022,1/1/2023,3,4,1,10,2,4,6,13,3,8,11,22,11,1005389,115817,66,66
19,52acfbac,24,5/1/2020,9/1/2022,1/1/2023,0,0,16,21,3,4,4,17,3,5,7,15,26,949780,130845,45,104
20,e683ea04,39,6/1/2019,4/1/2024,1/1/2023,0,1,13,17,2,4,4,14,3,4,8,15,0,0,131700,30,192
21,6bd21ccf,31,9/1/2020,9/1/2022,1/1/2023,0,3,2,7,0,5,1,7,0,6,4,10,13,791141,183637,20,0
22,012f0e15,31,6/1/2019,4/1/2024,1/1/2023,3,6,12,23,3,2,5,14,3,4,9,16,25,2224500,561647,0,75
23,904e6c62,37,8/1/2019,4/1/2024,1/1/2023,2,0,19,26,3,6,6,20,4,9,6,19,28,2641436,628759,38,112
24,ce0fda0a,49,7/1/2020,1/1/2023,1/1/2023,0,3,10,16,3,1,3,11,4,1,3,8,18,1397862,268947,16,108
25,ef8d6878,40,1/1/2020,2/1/2023,1/1/2023,2,0,18,21,3,6,1,17,5,9,7,21,24,46008,7542,42,24
26,deae5754,49,4/1/2020,11/1/2023,1/1/2023,3,2,1,9,4,3,7,15,4,5,13,22,10,872630,148194,22,0
27,7.99E+12,30,8/1/2021,1/1/2022,1/1/2023,2,4,13,23,1,3,1,9,2,6,1,9,26,1287806,374552,36,52
